"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-11-30,"Claremont, NH","NH",192,1519.35,-0.0157,-0.0212,0.061,79198
2019-11-30,"Barnstable Town, MA","MA",193,1883.93,-0.0218,-0.0761,-0.0082,177064
2019-11-30,"Longview, TX","TX",194,1048.68,-0.0088,0.0171,0.0076,59877
2019-11-30,"Burlington, VT","VT",195,1923.73,0.0123,0.0723,0.0399,44748
2019-11-30,"Prescott, AZ","AZ",196,1478.96,0.0048,0.0115,0.0307,92736
2019-11-30,"Springfield, IL","IL",197,833.87,0.0087,0.0259,-0.0191,2999
2019-11-30,"Tyler, TX","TX",198,1097.91,0.0211,0.0108,0.025,75320
2019-11-30,"Las Cruces, NM","NM",199,985.68,0.0096,0.0226,0.0217,62409
2019-11-30,"Fargo, ND","ND",200,972.58,0.0188,0.0349,0.0167,43135
2019-11-30,"Houma, LA","LA",201,979.16,-0.0014,0.0239,-0.0105,17486
2019-11-30,"Rochester, MN","MN",202,1241.96,0.0167,0.0241,0.0028,83207
2019-11-30,"Florence, SC","SC",203,1077.52,0.0243,0.0014,-0.0093,55707
2019-11-30,"Medford, OR","OR",204,1493.2,0.0163,0.0263,0.0393,73279
2019-11-30,"Lafayette-West Lafayette, IN","IN",205,1064.46,0.0118,0.0687,0.0723,62919
2019-11-30,"Bellingham, WA","WA",206,1637.19,0.0106,0.0593,0.0832,76824
2019-11-30,"Lake Havasu City, AZ","AZ",207,1302.05,0.0128,0.0667,0.0869,49061
2019-11-30,"Saginaw, MI","MI",208,780.61,0.0265,0.0601,0.0595,68530
2019-11-30,"Johnson City, TN","TN",209,895.22,-0.0092,0.0002,0.028,73984
2019-11-30,"Elkhart, IN","IN",210,914.79,-0.0063,-0.01,-0.0183,60727
2019-11-30,"Yuma, AZ","AZ",211,935.82,-0.0014,0.0279,0.0276,50257
2019-11-30,"Racine, WI","WI",212,1206.3,0.0267,0.0515,0.0838,52655
2019-11-30,"Athens, GA","GA",213,1184.3,0.0091,0.0377,0.0307,71069
2019-11-30,"Torrington, CT","CT",214,1263.68,0.0013,0.0097,0.0025,101286
2019-11-30,"Hilton Head Island, SC","SC",215,1688.58,-0.0086,-0.0137,-0.0018,99686
2019-11-30,"Bloomington, IL","IL",216,758.03,-0.0055,-0.0017,-0.0668,24612
2019-11-30,"Hilo, HI","HI",217,1685.24,-0.0127,-0.0392,0.0149,89944
2019-11-30,"Kingston, NY","NY",218,1530.39,-0.0211,0.008,-0.0302,69843
